Type,CharacterId,Dialogue,,CharacterNum,MCharacter,MCIllust,LCharacter,LCIllust,RCharacter,RCIllust,,AnswerId,LineOffset,FigureId,FigureIdx,PrivisoId,PrivisoIdx,DiaryId,,TriggerObject,OpenDialogue,,Background,EffectSound,BGM
0,M4,아니야 이제 정상 신호로 돌아왔어.,,,,,,,,,,,,,,,,,,,,,,,
0,M0,"다행이네.
그럼 매뉴얼대로 시작하자고
이번 사건의 브리핑 부탁해",,,,,,,,,,,,,,,,,,,,,,,
0,M4,"이미 알고 있을테니 사실상 형식적인거지만…
원래 신입 수사관들은 이런거 다 챙기려 하더라. 
아닌척 하지만 엄청 설레고 있나봐? 귀여워라~",,,,,,,,,,,,,,,,,,,,,,,
0,M0,… …,,,,,,,,,,,,,,,,,,,,,,,
0,M4,으아 표정봐,,,,,,,,,,,,,,,,,,,,,,,
0,,"큼큼. 자, 그럼 잘 들어",,,,,,,,,,,,,,,,,,,,,,,
0,,"이번 사건의 피해자 이름은 <color=#FF6532>최정아</color>
 83세인 고령의 여성이지",,0,,,,,,,,,,F1-0,0,,,,,,,,1,,
0,,"시신은 TA22년 3월 2일, 집 근처의 호수에서 발견되었어.",,,,,,,,,,,,,,,,,,,,,,,
0,,마을 이웃인 <color=#FF6532>박종우</color>씨가 오후 3시 경에 호수에 낚시를 하러 왔다가 시체가 물에 떠있는 것을 보고 신고했지,,,,,,,,,,,,F1-3,0,,,,,,,,,,
0,,시신은 새하얀 드레스같은 원피스를 입고 있었어,,,,,,,,,,,,,,,,,,,,,,,
0,M0,가슴 왼편엔 꽃모양의 브로치도 달려있었지,,,,,,,,,,,,,,,,,,,,,,,
0,M4,"응. 물 속에 있어서 훼손이 좀 있었지만, 특별한 외상은 보이지 않다고 들었어",,,,,,,,,,,,,,P1-0,0,,,,,,,,
0,,아직 부검은 진행중이여서 더 자세한 내용은 내일에야 나오겠지만..,,,,,,,,,,,,,,,,,,,,,,,
0,,"사망 추정 시각은 오늘 아침인 2월 27일 8시~9시 경이고, 사인은 익사야",,,,,,,,,,,,,,,,,,,,,,,
0,M0,익사…,,1,M0,0,,,,,,,,,,,,,,,,,0,,
0,M10,"수사관님들.
얻은 정보는 바로 데이터베이스에 갱신된답니다.",,1,,,,,,,,,,,,,,,,,,,,,
0,M0,뭐.. 뭐야?,,,M0,1,,,,,,,,,,,,,,,,,,,
0,M5,"놀래켜드려 죄송합니다.
저는 Rasa 인공지능 도우미, 제품키 <color=#4B64B0>R-Pandora-2121-Tfzk-14</color>입니다.",,2,,,M0,1,M5,0,,,,,,,,,,,,,,,
0,,<color=#4B64B0>Lim</color>이라고 불러주세요.,,,,,,,,,,,,,,,,,,,,,,,
0,M4,"아하하 인공지능 도우미는 처음 보지?
이건 정식 수사에 한해서만 사용할 수 있거든",,,,,M4,0,M5,0,,,,,,,,,,,,,,,
0,,"우리가 Rasa를 사용하면서 궁금한 것을 물어보거나, 정보를 얻을 수 있는 조수라고 생각하면 돼.",,,,,,,,,,,,,,,,,,,,,,,
0,M5,"네. 방금 얻은 시신에 대한 정보도 단서에 추가됐을거에요.
확인해보시겠어요?",,,,,,,,,,,,,,,,,,,,,,,
0,M4,어때 단서에 대해선 제대로 파악했어?,,,,,,,M0,0,,,,,,,,,,,,,,,
0,M0,"데이터 갱신이 된다는건 알고 있었어
현장실습때도 해봤고",,,,,,,,,,,,,,,,,,,,,,,
0,,"그래도.. Lim이라고 했나? 도우미는 솔직히 신기하네.
뭔가 정말로 인정받는 느낌이야.",,,,,M0,0,M5,0,,,,,,,,,,,,,,,
0,M5,"후후후 앞으로 필요하실 때마다 불러주세요.
전 수사관분들을 돕기 위해 탄생한 인공지능이니까요.",,,,,,,,,,,,,,,,,,,,,,,
0,M4,"앞으로 계속 보게 될테니까 인사는 이쯤하자
아직 이 언니의 브리핑이 안끝났거든",,,,,M4,0,,,,,,,,,,,,,,,,,
0,M0,동감이야,,,,,M0,0,,,,,,,,,,,,,,,,,
0,M5,… 다들 차가우시군요. Lim은 속상합니다.,,,,,,,,,,,,,,,,,,,,,,,
0,M4,"아하하 속상해하지마~
이래봬도 서리가 지금 많이 긴장한 상태거든
그립네 신입의 열정. 나도 초반엔 너같았지",,,,,,,M4,0,,,,,,,,,,,,,,,
0,M0,"선배는 지금도 그러기로 유명해.
됐고 다시 본론으로 돌아오자",,,,,,,,,,,,,,,,,,,,,,,
0,M4,아 응. 어쨌든 다시 이어보자면..,,,,,,,,,,,,,,,,,,,,,,,
0,,"현장조사팀의 주변인 조사 결과, 2/27 아침 8시 경에 최정아씨를 목격했다는 사람이 있었어
동네 주민인 이세영씨야",,,,,,,,,,,,,,,,,,,,,,,
0,,"8시경에 호수 주변 곶으로 올라가는 산책길 초입에 들어서는 최정아씨를 봤다고 했어
그 후 다른 일을 하다가 20분 정도가 지났을 무렵, 곶 위에 길쭉한 그림자 2개를 봤다고 했지",,,,,,,,,,,,F1-2,0,,,,,,,,,,
0,M0,"최정아씨가 그대로 길을 타고 올라갔으면, 곶에 있던 그림자는 최정아씨가 맞겠지
2개였다면 다른 하나는 뭐였을까? 사람? 
만약 그렇다면 이번 사건은 <color=#C8241C>살인사건</color>의 가능성을 배제할 수 없어",,,,,,,,,,,,,,,,,,,,,,,
0,M4,이제부터 우리가 수사해야하는게 그런 것들이지,,,,,,,,,,,,,,,,,,,,,,,
0,,"현장조사팀은 최정아씨의 남편 김인우에 주의를 기울이라고 하더라
최정아씨의 행방이나 당일날 뭐했는지 등에 대해서도 얼버무리는 듯한 느낌이라고",,,,,,,,,,,,F1-1,0,,,,,,,,,,
0,M0,도움 안되게 시리,,,,,,,,,,,,,,,,,,,,,,,
0,M4,… 만약 사실이라면.. 끔찍한 일이야. 배우자 살해라니,,,,,,,,,,,,,,,,,,,,,,,
0,M0,"피해자가 돈이 많았잖아
안타깝지만 돈 때문에 가족을 죽이는 건 적은 사례는 아니지",,,,,,,,,,,,,,,,,,,,,,,
0,,"과거에 국가상도 여러번 수여받은 엄청 잘나가는 번역가 겸 통역가였으면 유산이 넘쳐날거야
애초에 이 마을에 온 것도 은퇴 후 남은 여생을 여유롭게 보내려고 한거잖아?",,,,,,,,,,,,F1-0,1,,,,,,,,,,
0,,"… 그래도 이건 결국 수많은 가정 중 하나일뿐이야
아직 제대로 나온건 하나도 없잖아?
나도 가족 살해 사건은 아니길 빌어",,,,,,,,,,,,,,,,,,,,,,,
0,,"… 왜 그런 일들이 있는지 모르겠어
어떤 사람들은 가족을 얼마나 바라고 있는데",,,,,,,,,,,,,,,,,,,,,,,
,M4,"그래 고인의 AI는 아직 남아있으니까.
특히 이런 수사가 필요한 상황에서는 사용허가가 뜨잖아?",,,,,,,,,,,,,,,,,,,,,,,
,0,…고인의 AI를 이용해서 시뮬레이션을 돌리는 것.,,,,,,,,,,,,,,,,,,,,,,,
,,"그게 RD인 우리가 하는 수사방식이지.
AI에게 설정을 계속 바꿔가며 시뮬레이션을 돌리고, 궁극적인 사건의 진실에 도달한다.",,,,,,,,,,,,,,,,,,,,,,,
,4,RASA라는 시뮬레이션 시스템을 사용해서 말이야.,,,,,,,,,,,,,,,,,,,,,,,
,,정말 엄청나고 대단한 기술이지!,,,,,,,,,,,,,,,,,,,,,,,
,,서리 넌 자랑스러워해도 좋아. 그야 넌…,,,,,,,,,,,,,,,,,,,,,,,
,0,"그 말이면 이미 선배한테 끊임없이 들었어.
그만해도 좋아.",,,,,,,,,,,,,,,,,,,,,,,
,,"대단한건 내 아버지지. 내가 아니잖아.
오히려 난 너무 평범하지.",,,,,,,,,,,,,,,,,,,,,,,
,,… 난…,,,,,,,,,,,,,,,,,,,,,,,
,4,서리야.,,,,,,,,,,,,,,,,,,,,,,,
,0,아 알겠어. 안한다고.,,,,,,,,,,,,,,,,,,,,,,,
,4,"뭐 그럼 마지막으로 딱 한번만 더 오글거리는 말 해도 될까?
이건 말이지 RD 대대로 내려오는 관습같은거거든.",,,,,,,,,,,,,,,,,,,,,,,
,,신입 수사관에게 파트너가 해주는 거지.,,,,,,,,,,,,,,,,,,,,,,,
,0,… …,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,
