Turn,Type,SpeakingId,Dialogue,C1,C1illust,C2,C2illust,AnswerId,NextTurn,InfoId,InfoIdx,Background,EffectSound,BGM
1,,S1-3,안좋았냐고?,,,,,,,,,,,
1,,,그 할망구랑 친했던 사람 찾는게 더 어려울거여!!!!,,,,,,,,,,,
1,,,하이고.. 어찌나 지 잘난 맛에 사는 인간인지..|거 옛날에 좀 잘나가는 번역가랬나? |그렇다고 을마나 남을 무시하든지…,,,,,,,,,,,
1,,,거 우리가 이사오고 환영한다고 찾아갔더니….,,,,,,,,,,,
,,,,,,,,,,,,,,
2,0,S1-0,"잘들어. 내가 여기온 건 여기가 사람도 적당히 없고, 풍경도 적당히 좋고 내 남은 인생 여유롭게 보내기 적당하다고 생각했을 뿐이야",S1-0,0,,,,,,,,,
2,,,<color=#A69F5E>hillbilly들이랑 어울릴 마음은 없어</color>,,,,,,,,,,,
,,,,,,,,,,,,,,
3,0,M0,…....|…...?,M0,0,S1-3,0,,,,,,,
3,,,우와.. 성격…,,,,,,,,,,,
3,,S1-3,고.. 뭐 힐.. 힐빌리? 힐빌라던가? 고게 뭔지 나중에 찾아보고 알았어!!!!,,,,,,,,,,,
3,,,"그 이후로 거의 우리 마을 공식 왕따여! |뭐 우리가 그 이후에도 몇번 손을 내밀었지만, |어찌나 싹바가지가 없던디!",,,,,,,,,,,
3,,,거거거 내가 영어를 공부한것도 다 그 할망구 때문이여!!! |알아들을 수도 없는 어려운 단어 쓰면서 내보고 무식한 채로 있지 말고 생각 좀 하고 살라꼬!!!!! |내가 서러워서 영어 공부를 다하고 있었다니께!!!,,,,,,,,,,,
3,,,에휴.. 평화로운 우리 마을에 이상한 사람이 들어왔닸겨 아니여!,,,,,,,,,,,
3,1,,그래도 남편은 착했는디…,,,,,A1-2,,,,,,
3,0,,말도 마. 고 할망구랑 결혼했다는 게 믿기지 않을 정도로 착한 사람이여.,,,,,,,,,,,
3,,,할망구가 실수하고 나면 우리한테 따로 와서 사과하고 그랬으니께.|그나마 이렇게 마을에서 잘 살고 있는것도 남편 덕분이제.,,,,,,,,,,,
3,,,아직도 이해할 수가 없어. |왜 인우형님이 그런 사람이랑 결혼한건지… |뭔가 약점이 잡힌게 분명하다니께!,,,,,,,,,,,
3,,M0,둘이 어찌나 사이가 좋던지 매일같이 붙어다녔지.,,,,,,,,,,,
3,,S1-3,붙어다녀요?,,,,,,,,,,,
3,,,그려. 산책가거나 마트가거나 맨날 아주 둘이서 알콩달콩했어 |그 나이먹고 그러기가 쉽지 않은디… 남사시러워라.,,,,,,,,,,,
3,,,…그러고 보니 <color=#5B69BA>1년 전</color>부터는 어느샌가 잘 안보였제?,,,,,,,,,,,
3,,M0,생각해보니께 이상하네.. |그렇게 둘이서 붙어다니다가 왜이렇게 요즘엔 안보이는 것이여?,,,,,,,,,,,
,,,,,,,,,,,,,,
4,0,,1년 전..,M0,0,M4,0,,,,,,,
4,,,(분명히 김인우씨도 최정아씨에 대해 잘 모른다는 듯이 굴었다고 했지),,,,,,,,,,,
4,,,(그런데 그 전에는 그렇게 꼭 붙어다니다가 1년 전부터 사이가 해이해졌다?),,,,,,,,,,,
4,,,(1년 전에 무슨 일이라도 있던걸까),,,,,,,,,,,
4,,M4,최정아씨는 그럼 마을에서 친했던 사람이 아무도 없던걸까..,,,,,,,,,,,
4,,,우리 서리도 성격이 좋은 편은 아니지만 저정도는 아닌데 말이야,,,,,,,,,,,
4,,M0,…난 평범하거든!,,,,,,,,,,,
,,,,,,,,,,,,,,
5,0,,박종우씨 그러면 최정아씨랑 최근에라던가 친했던 사람은 없나요? 아무도?,M0,0,S1-3,0,,,,,,,
5,,S1-3,흐음 <color=#FF6532>지혜</color>는 그래도 친했제,,,,,,,,,,,
5,,M0,지혜?,,,,,,,,,,,
5,,S1-3,그려! <color=#FF6532>남지혜</color> 우리 마을의 유일한 젊은이가 있거든,,,,,,,,,,,
5,,,아주 싹싹한 친구여! |고 최정아 할망구의 기준에 든 유일한 주민일걸??,,,,,,,,,,,
5,,M0,어디에 있나요?,,,,,,,,,,,
5,,S1-3,가까워 바로 이 옆에 있는걸,,,,,,,,,,,
5,,,호수 옆 숲 있잖여! 거기 관리인으로 온 친구여!,,,,,,,,,,,
5,,,내 생각인디.. 아마 공무원이라 하니까 최정아가 만족해한게 분명혀! |크으… 속물적인 인간 같으니라고!,,,,,,,,,,,
,,,,,,,,,,,,,,
6,0,M4,아! 숲이라면 이 호수 주변에 있었지?,M0,0,M4,0,,,,,,,
6,5,,탐색할 공간이 넓으면 맵을 둘러볼 수 있어! |둘러볼 수 있는 방향은 화면에 표시되어 있을거야 ,,,,,,,,,,,
6,0,,아마 숲 관리인이라면 방금 본 오두막에 살고 있을거야,,,,,,,,,,,
6,,M0,딱히 좋은 시설은 아니네,,,,,,,,,,,
6,,S1-3,근디 내 생각에…,,,,,,,,,,,
,,,,,,,,,,,,,,
7,0,M4,으아! 박종우씨를 잠깐 잊고 있었네,M4,0,S1-3,0,,,,,,,
7,,S1-3,뭐..뭐여? |너무혀… 니들도 날 무시하는겨?!?!,,,,,,,,,,,
7,,M4,에이~ 그게 무슨 소리에요 |그래서 박종우씨 생각은 어떤건데요?? 궁금해~,,,,,,,,,,,
7,,M0,(능숙해..),,,,,,,,,,,
7,,S1-3,흠흠 그르니까..,,,,,,,,,,,
7,,,최정아가 그래도 꽤나 지혜를 아꼈던 것 같더라구 |종종 집에도 초대하고 그랬어,,,,,,,,,,,
7,,,그 마을에 있는 으리으리한 집있지?? 거기 말이여 |아마 고 집에 들어간 사람은 지혜가 유일할겨,,,,,,,F1-4,0,,,
7,,,크으.. 분하다.. 나도 가보고 싶은데..,,,,,,,,,,,
,,,,,,,,,,,,,,
8,0,M4,(이분은 그냥 어디든 끼길 좋아하는 사람인 것 같기도 하고..),M4,0,M0,0,,,,,,,
8,,,아무래도 지혜라는 사람이랑도 한번 얘기해봐야겠지?,,,,,,,,,,,
