Turn,Type,SpeakingId,Dialogue,C1,C1illlust,C2,C2illust,AnswerId,NextTurn,InfoId,InfoIdx,Background,EffectSound,BGM,,,
1,,,"상상할 순 없지만, 그 전에 사람들은 이걸 <color=#C8241C>국가의 사생활 침해</color>라고 여겼다고 해",,,,,,,,,,,,,,
1,,,그래서 아직 노인 세대들에겐 거부감이 있는거겠지,,,,,,,,,,,,,,
1,,M4,정의를 위한 일이지,,,,,,,,,,,,,,
1,,,Rasa의 시뮬레이션은 완벽해. |그리고 나는 이 기술을 이용하고 정의를 구현한다는 데에 아주 자부심을 갖고 있어,,,,,,,,,,,,,,
1,,,너도 그래서 RD에 들어온거잖아?,,,,,,,,,,,,,,
1,,M0,난.. ,,,,,,,,,,,,,,
1,,M4,그나저나 남지혜씨는 굉장히 작고 귀여우시네 |마을의 유일한 젊은이에 성격까지 싹싹하다면 예쁨 많이 받겠어,,,,,,,,,,,,,,
1,,M0,그래서 최정아씨도 좋아한거 아닐까?,,,,,,,,,,,,,,
1,,M4,적어도 박종우씨보다는 최정아씨에 대해 더 많이 알게되지 않을까?,,,,,,,,,,,,,,
1,,,지혜씨 안녕하세요!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2,0,S1-4,어.. 누구….,M4,0,S1-4,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,
3,0,S1-4,아 안녕하세요!,S1-4,0,,,,,,,,,,,,
3,,M4,이 마을에 젊은 사람은 잘 안 올 것 같은데 어떻게 오신거에요?,,,,,,,,,,,,,,
3,,S1-4,아 저는 3년 전에 여기 숲 관리인으로 발령받았어요,,,,,,,,,,,,,,
3,,,"확실히 놀 거리는 많이 없지만, 좋은 마을이에요! 사람들도 친절하고",,,,,,,,,,,,,,
3,,M4,공무원이라고 하셨죠? 숲 관리는 무슨 일을 하나요?,,,,,,,,,,,,,,
3,,S1-4,"음 주된 일은 숲의 경관을 정비해서 미화유지를 하고, 수목이 잘 자라도록 관리하는거네요",,,,,,,,,,,,,,
3,,,"그리고 날짜나 계절별로 다양한 장식이나 새로운 건축물을 들이기도 해요! |여름엔 분수대를 작동시키거나, 크리스마스 시즌엔 전등을 달죠",,,,,,,,,,,,,,
3,,,"제 일의 목표는 결국, 숲을 이용하는 사람들을 즐겁게 해주는 거니까",,,,,,,,,,,,,,
3,,M0,일을 굉장히 좋아하시네요,,,,,,,,,,,,,,
3,,S1-4,네? 하하 그렇다기 보단 공무원이 철밥통이잖아요~ |노후에 놀고먹고 싶어서 고른거죠 뭐,,,,,,,,,,,,,,
3,1,M0,(어... 생각보다 되게 현실적인 이유네),,,,,A1-4,,,,,,,,,
3,0,S1-4,정아할머니랑 아는 사이신가요? ,,,,,,,,,,,,,,
3,,,다행이다.. 전 할머니가 저랑밖에 얘기 안하는 줄 알았어요 |친한 사람이 또 있었군요,,,,,,,,,,,,,,
3,,M4,(정아씨 대체 어떤 삶을 살았던걸까..),,,,,,,,,,,,,,
3,,S1-4,마을 사람들이랑 잘 안어울리시지만.. 그래도 친해지면 좋은 분이세요 |물론 친해지기까지의 과정이 험난하지만..,,,,,,,,,,,,,,
3,,,할머니의 성격이 괴팍한건 저도 알아요! |그래도 삶의 자세는 멋있는 분이세요,,,,,,,,,,,,,,
3,,,무언가를 그렇게 열렬히 사랑하고 온 열정을 다하는 그런거.. 당신에게는 있나요? |전 대단하다고 생각해요,,,,,,,,,,,,,,
3,,M0,그건 최정아씨의 <color=#5B69BA>일</color>을 말하는 건가요?,,,,,,,,,,,,,,
3,,S1-4,맞아요! 할머니는 자신의 일을 아주 사랑하셨죠! |은퇴한 지금까지도 놓지 못하고 끝없이 공부하고 계셨어요 |머리라는건 그대로 두면 굳어져버리는 거라고 계속 써줘야 한다고요,,,,,,,,,,,,,,
3,,,저는 상상도 못할 일이에요..,,,,,,,,,,,,,,
3,,,… 하지만 그래서 걱정되기도 했어요 |너무 과거의 추억에만 머물러 계셨거든요,,,,,,,,,,,,,,
3,,,나이가 들고 은퇴를 하는 것에 굉장히 회의감을 느끼셨던 것 같아요 |될 수 있으면 죽을때까지 일하고 싶었다거나 아니면 일을 하다가 죽고 싶었다고 말하곤 하셨죠,,,,,,,,,,,,,,
3,,M0,…굉장하시네요,,,,,,,,,,,,,,
3,,M4,난 좀 이해되는걸~,,,,,,,,,,,,,,
3,,S1-4,그래도 인우할아버지가 곁에 계셔서 다행이에요,,,,,,,,,,,,,,
3,,M4,사람들 말을 들어보면 두 분 성격이 정말 다른 것 같아요,,,,,,,,,,,,,,
3,,S1-4,네 아무래도… |솔직히 정말 물과 기름같은 성정이죠,,,,,,,,,,,,,,
3,,,그래도 물과 기름이 합쳐져 작품이 되기도 하잖아요? |저는 두분이 그런 사이라고 생각해요,,,,,,,,,,,,,,
3,,,그리고 두분이 아직까지 사이가 그렇게 좋으시니까..,,,,,,,,,,,,,,
3,,M0,아직까지? 최근에도 두 사람과 만나신 적이 있나요?,,,,,,,,,,,,,,
3,,S1-4,네? 아니요.. 그러고보니 최근엔 만난 적이 없네요 |아예 두분 다 잘 나오시지 않는것 같아서…,,,,,,,,,,,,,,
3,,M0,혹시 언제부터였는지 기억나시나요?,,,,,,,,,,,,,,
3,,S1-4,음…으음.. 한 <color=#C8241C> 1년 전</color>부터인가,,,,,,,,,,,,,,
3,,M0,(박종우씨의 진술과 겹치는군),,,,,,,,,,,,,P1-4,0
3,,S1-4,그래도 두분이 아직까지 사이가 좋다는 건 알 수 있어요!,,,,,,,,,,,,,,
3,,,그것도 그럴게.. |<color=#C8241C>2월 27일에도 두분이서 함께 호수로 놀러왔는걸요!</color>,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
4,0,M4,…!,M4,0,,,,,,,,,,,,
4,,,사건 당일날에 둘이서 놀러왔다고..?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5,0,M0,그걸 어떻게 알죠? 보신건가요?,M0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
6,0,S1-4,아.. 아뇨 직접 본건 아니지만… |호수위의 배 보셨죠? ,S1-4,0,,,,,,,,,,,,
6,,,그 배의 주인이 두분인걸요… |애초에 배 보관소에 자물쇠가 걸려있어서 주인이 아니면 가지고 나오지 못한다구요,,,,,,,P1-1,1,,,,,,
6,,,그래서 그런거 아닐까 생각했어요,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
7,0,M0,박종우씨 말에 따르면 호수 위에 있는 배는 전날인 2/26까지는 없었어,M0,0,M4,0,,,,,,,,,,
7,,,그리고 사건 당일인 2/27에 나타난거지,,,,,,,,,,,,,,
7,,,그런데 그 배의 주인이 최정아와 김인우라고?,,,,,,,,,,,,,,
7,,M4,… 두 사람이 2/27에 같이 있었다..?,,,,,,,,,,,,,,
7,,M0,아니. 아니야 |생각해봐 저 배의 주인은 <color=#A69F5E>두 사람 모두야</color>,,,,,,,,,,,,,,
7,,,둘 다 배 보관소의 자물쇠를 열 수 있지 |그말은 둘 중 한 사람만 갖고왔을 수도 있는거잖아?,,,,,,,,,,,,,,
7,,M4,...아! |남지혜씨가 너무 당연하게 둘이라고 해서 그 가능성을 잊고있었네..,,,,,,,,,,,,,,
7,,M0,맞아 너무 당연하단듯이 말했어 |왜 그렇게 생각한거지?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8,0,M0,꼭 둘이서 탔다는 법이 어딨죠? |둘 중 한 사람이 탔을 수도 있는건데 그렇게 생각한 이유가 있나요?,M0,0,S1-4,0,,,,,,,,,,
8,,S1-4,네?? 아 음 그건.. |이거 말해도 되려나.. |워낙 정아할머니가 본인 얘기를 안해서..,,,,,,,,,,,,,,
8,,,음.. 뭐 큰일도 아니고 상관없겠지?,,,,,,,,,,,,,,
8,,,왜냐하면.. <color=#C8241C>그 날이 두 분의 결혼 기념일</color>이거든요,,,,,,,,,,,,,,
8,,M0,..!,,,,,,,,,,,,,,
8,,,그런 날에 호수 위에 두 분의 배가 떠있다보니까.. |당연하게 둘이서 결혼기념일을 맞아 놀러왔다고 생각했어요..,,,,,,,,,,,,,,
8,,M0,(그 말이라면 일리는 있어. 어차피 본인이 직접 본 것도 아니니까 그런 유추는 가능해),,,,,,,,,,,,,,
8,,,(그런데 남의 결혼기념일까지 어떻게 기억하는거지? 아무리 친하다고해도),,,,,,,,,,,,,,
8,,,확실한가요? 정말 2/27이 맞아요?,,,,,,,,,,,,,,
8,,S1-4,어어.. 그렇게 확실하냐고 물어보시면 확답은 못해드리겠는데.. |제 기억상은 그래요 |아니면 적어도 이맘때쯤이었던 건 분명해요!,,,,,,,,,,,,,,
8,,,전에 두 분께 결혼기념일 선물도 드린 적 있거든요~ |정아할머니가 딸같다고 얼마나 좋아해주셨는데..,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
9,0,M4,결혼기념일이라.. 이 안건은 김인우씨에게 정확히 확인해봐야할 것 같아,M0,0,M4,0,,,,,,,,,,
9,,,"그래도 꽤나 새로운 단서가 많이 모였는걸? |배의 주인, 2월 27일에 대한 거라든가",,,,,,,,,,,,,,
9,,M0,최정아씨와 김인우씨에 대한 사이도 말이야,,,,,,,,,,,,,,
9,,,그나저나 최정아씨 성격에 이렇게 대화를 많이 한 사람이 있을줄이야,,,,,,,,,,,,,,
9,,M4,아하하 나도 의외긴하다 |아! 혹시 그런거 아닐까?,,,,,,,,,,,,,,
9,,,원래 평소에 차갑게 있는 사람일수록 속으로는 외로움을 많이 탄다잖아~,,,,,,,,,,,,,,
9,,,최정아씨도 자신이 마음을 주기로 한 사람에게는 한없이 다정해지는거지,,,,,,,,,,,,,,
9,,,마치 서리처럼?,,,,,,,,,,,,,,
9,,M0,… 으 됐어 선배랑 무슨 얘기를 더 하겠어?,,,,,,,,,,,,,,
